x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40,x41,x42,x43,x44,x45,x46,x47,x48,x49,value,Timestamp
3.141592654,0,1.570796327,1.570796327,3.141592654,1.570796327,0,3.141592654,1.570796327,3.141592654,3.141592654,0,-1.570796327,3.141592654,1.570796327,1.570796327,0,1.570796327,0,3.141592654,3.141592654,0,3.141592654,3.141592654,3.141592654,1.570796327,3.141592654,3.141592654,1.570796327,-1.570796327,3.141592654,3.141592654,1.570796327,-1.570796327,3.141592654,-1.570796327,1.570796327,1.570796327,0,0,0,3.141592654,1.570796327,-1.570796327,3.141592654,-1.570796327,3.141592654,1.570796327,1.570796327,0,0.480732421875,10528
0,1.570796327,3.141592654,-1.570796327,3.141592654,0,3.141592654,-1.570796327,1.570796327,1.570796327,1.570796327,1.570796327,0,-1.570796327,0,1.570796327,-1.570796327,0,1.570796327,3.141592654,-1.570796327,1.570796327,3.141592654,1.570796327,-1.570796327,3.141592654,0,-1.570796327,3.141592654,-1.570796327,1.570796327,1.570796327,0,1.570796327,3.141592654,3.141592654,0,0,1.570796327,0,-1.570796327,0,-1.570796327,3.141592654,3.141592654,-1.570796327,0,3.141592654,1.570796327,0,0.482880859375,20652
1.570796327,-1.570796327,1.570796327,-1.570796327,-1.570796327,1.570796327,1.570796327,3.141592654,1.570796327,1.570796327,3.141592654,1.570796327,0,0,1.570796327,0,3.141592654,-1.570796327,-1.570796327,1.570796327,3.141592654,-1.570796327,0,0,1.570796327,-1.570796327,1.570796327,-1.570796327,0,1.570796327,-1.570796327,-1.570796327,0,1.570796327,3.141592654,1.570796327,1.570796327,3.141592654,1.570796327,1.570796327,-1.570796327,1.570796327,1.570796327,3.141592654,-1.570796327,3.141592654,0,-1.570796327,-1.570796327,1.570796327,0.468310546875,31316
3.141592654,1.570796327,-1.570796327,1.570796327,1.570796327,1.570796327,3.141592654,-1.570796327,1.570796327,3.141592654,-1.570796327,3.141592654,-1.570796327,0,3.141592654,-1.570796327,3.141592654,-1.570796327,1.570796327,3.141592654,-1.570796327,0,-1.570796327,1.570796327,3.141592654,-1.570796327,-1.570796327,-1.570796327,0,3.141592654,1.570796327,1.570796327,1.570796327,-1.570796327,-1.570796327,1.570796327,1.570796327,0,1.570796327,0,0,0,3.141592654,1.570796327,1.570796327,-1.570796327,0,3.141592654,3.141592654,3.141592654,0.465693359375,42117
3.141592654,1.570796327,1.570796327,-1.570796327,1.570796327,0,-1.570796327,3.141592654,-1.570796327,3.141592654,0,1.570796327,0,-1.570796327,-1.570796327,0,0,-1.570796327,1.570796327,0,-1.570796327,0,0,3.141592654,1.570796327,1.570796327,0,0,1.570796327,0,3.141592654,-1.570796327,3.141592654,1.570796327,1.570796327,3.141592654,-1.570796327,0,-1.570796327,-1.570796327,1.570796327,0,-1.570796327,-1.570796327,1.570796327,3.141592654,1.570796327,-1.570796327,1.570796327,-1.570796327,0.47310546875,52567
1.570796327,0,1.570796327,-1.570796327,0,-1.570796327,0,1.570796327,3.141592654,0,-1.570796327,1.570796327,0,3.141592654,1.570796327,0,3.141592654,3.141592654,-1.570796327,0,0,-1.570796327,0,1.570796327,-1.570796327,0,-1.570796327,3.141592654,1.570796327,3.141592654,3.141592654,1.570796327,-1.570796327,0,1.570796327,-1.570796327,0,0,-1.570796327,0,0,3.141592654,0,-1.570796327,1.570796327,1.570796327,0,3.141592654,1.570796327,3.141592654,0.473701171875,62654
-1.570796327,1.570796327,3.141592654,3.141592654,1.570796327,3.141592654,0,0,-1.570796327,1.570796327,-1.570796327,1.570796327,0,0,-1.570796327,3.141592654,1.570796327,-1.570796327,3.141592654,1.570796327,-1.570796327,3.141592654,3.141592654,3.141592654,1.570796327,-1.570796327,3.141592654,3.141592654,0,3.141592654,-1.570796327,0,1.570796327,1.570796327,-1.570796327,-1.570796327,-1.570796327,-1.570796327,0,-1.570796327,-1.570796327,3.141592654,1.570796327,-1.570796327,3.141592654,-1.570796327,-1.570796327,-1.570796327,3.141592654,0,0.47615234375,73451
1.570796327,1.570796327,1.570796327,0,1.570796327,3.141592654,3.141592654,1.570796327,3.141592654,-1.570796327,1.570796327,-1.570796327,0,-1.570796327,1.570796327,0,1.570796327,1.570796327,3.141592654,3.141592654,3.141592654,-1.570796327,0,0,1.570796327,-1.570796327,1.570796327,0,3.141592654,1.570796327,3.141592654,0,1.570796327,3.141592654,1.570796327,-1.570796327,-1.570796327,3.141592654,1.570796327,1.570796327,1.570796327,1.570796327,-1.570796327,-1.570796327,0,0,3.141592654,3.141592654,-1.570796327,3.141592654,0.4762109375,84316
1.570796327,-1.570796327,-1.570796327,-1.570796327,3.141592654,0,-1.570796327,0,0,-1.570796327,3.141592654,0,3.141592654,0,-1.570796327,3.141592654,3.141592654,0,0,1.570796327,3.141592654,-1.570796327,3.141592654,1.570796327,1.570796327,0,1.570796327,1.570796327,0,3.141592654,3.141592654,3.141592654,1.570796327,3.141592654,0,3.141592654,0,0,3.141592654,-1.570796327,-1.570796327,1.570796327,-1.570796327,1.570796327,-1.570796327,1.570796327,3.141592654,0,-1.570796327,-1.570796327,0.474443359375,94719
-1.570796327,-1.570796327,3.141592654,-1.570796327,1.570796327,-1.570796327,0,-1.570796327,-1.570796327,3.141592654,-1.570796327,-1.570796327,-1.570796327,1.570796327,0,3.141592654,1.570796327,1.570796327,3.141592654,0,3.141592654,0,0,3.141592654,0,1.570796327,0,0,-1.570796327,1.570796327,0,1.570796327,0,0,3.141592654,-1.570796327,3.141592654,1.570796327,3.141592654,-1.570796327,1.570796327,3.141592654,1.570796327,0,0,3.141592654,1.570796327,-1.570796327,0,-1.570796327,0.4642578125,104756
